"id","parent_id","name","fullname","parent_name","name_ru","name_en"
536,34,"Vision","","Eagle","Vision",NULL
537,35,"Admiral","","FAW","Admiral",NULL
538,35,"Besturn","","FAW","Besturn",NULL
539,35,"HQ3","","FAW","HQ3",NULL
540,35,"Jinn","","FAW","Jinn",NULL
541,35,"Vita","","FAW","Vita",NULL
542,36,"Polonez","","FSO","Polonez",NULL
543,37,"Tarpan Honker","","FSR","Tarpan Honker",NULL
544,38,"208","","Ferrari","208",NULL
545,38,"308","","Ferrari","308",NULL
546,38,"328","","Ferrari","328",NULL
547,38,"348","","Ferrari","348",NULL
548,38,"355 Berlinetta","","Ferrari","355 Berlinetta",NULL
549,38,"355F1","","Ferrari","355F1",NULL
550,38,"360 Modena","","Ferrari","360 Modena",NULL
551,38,"360 Spider","","Ferrari","360 Spider",NULL
552,38,"365","","Ferrari","365",NULL
553,38,"412","","Ferrari","412",NULL
554,38,"456 GT","","Ferrari","456 GT",NULL
555,38,"512 M","","Ferrari","512 M",NULL
556,38,"550 Barchetta","","Ferrari","550 Barchetta",NULL
557,38,"550 Maranello","","Ferrari","550 Maranello",NULL
558,38,"575 Maranello","","Ferrari","575 Maranello",NULL
559,38,"599 GTB","","Ferrari","599 GTB",NULL
560,38,"612 Scaglietti","","Ferrari","612 Scaglietti",NULL
561,38,"Enzo","","Ferrari","Enzo",NULL
562,38,"F355 GTS","","Ferrari","F355 GTS",NULL
563,38,"F355 Spider","","Ferrari","F355 Spider",NULL
564,38,"F40","","Ferrari","F40",NULL
565,38,"F430","","Ferrari","F430",NULL
566,38,"F50","","Ferrari","F50",NULL
567,38,"GTB","","Ferrari","GTB",NULL
568,38,"Mondial 3.2","","Ferrari","Mondial 3.2",NULL
569,38,"Mondial 8","","Ferrari","Mondial 8",NULL
570,38,"Mondial T","","Ferrari","Mondial T",NULL
571,38,"Testarossa","","Ferrari","Testarossa",NULL
572,39,"124","","Fiat","124",NULL
573,39,"126","","Fiat","126",NULL
574,39,"127","","Fiat","127",NULL
575,39,"131","","Fiat","131",NULL
576,39,"242","","Fiat","242",NULL
577,39,"500","","Fiat","500",NULL
578,39,"600","","Fiat","600",NULL
579,39,"850","","Fiat","850",NULL
580,39,"Albea","","Fiat","Albea",NULL
581,39,"Barchetta","","Fiat","Barchetta",NULL
582,39,"Brava","","Fiat","Brava",NULL
583,39,"Bravo","","Fiat","Bravo",NULL
584,39,"Cinquecento","","Fiat","Cinquecento",NULL
585,39,"Coupe","","Fiat","Coupe",NULL
586,39,"Croma","","Fiat","Croma",NULL
587,39,"Doblo","","Fiat","Doblo",NULL
588,39,"Ducato","","Fiat","Ducato",NULL
589,39,"Duna","","Fiat","Duna",NULL
590,39,"Fiorino","","Fiat","Fiorino",NULL
591,39,"Grande Punto","","Fiat","Grande Punto",NULL
592,39,"Idea","","Fiat","Idea",NULL
593,39,"Linea","","Fiat","Linea",NULL
594,39,"Marea","","Fiat","Marea",NULL
595,39,"Multipla","","Fiat","Multipla",NULL
596,39,"Palio","","Fiat","Palio",NULL
597,39,"Panda","","Fiat","Panda",NULL
598,39,"Punto","","Fiat","Punto",NULL
599,39,"Regata","","Fiat","Regata",NULL
600,39,"Ritmo","","Fiat","Ritmo",NULL
601,39,"Scudo","","Fiat","Scudo",NULL
602,39,"Sedici","","Fiat","Sedici",NULL
603,39,"Seicento","","Fiat","Seicento",NULL
604,39,"Siena","","Fiat","Siena",NULL
605,39,"Stilo","","Fiat","Stilo",NULL
606,39,"Strada","","Fiat","Strada",NULL
607,39,"Tempra","","Fiat","Tempra",NULL
608,39,"Tipo","","Fiat","Tipo",NULL
609,39,"Ulysse","","Fiat","Ulysse",NULL
610,39,"Uno","","Fiat","Uno",NULL
611,39,"X 1/9","","Fiat","X 1/9",NULL
613,40,"Aerostar","","Ford","Aerostar",NULL
614,40,"Aspire","","Ford","Aspire",NULL
615,40,"Bronco","","Ford","Bronco",NULL
616,40,"C-Max","","Ford","C-Max",NULL
617,40,"Capri","","Ford","Capri",NULL
618,40,"Consul","","Ford","Consul",NULL
619,40,"Contour","","Ford","Contour",NULL
620,40,"Cougar","","Ford","Cougar",NULL
621,40,"Courier","","Ford","Courier",NULL
622,40,"Crown Victoria","","Ford","Crown Victoria",NULL
623,40,"Econoline","","Ford","Econoline",NULL
624,40,"Econovan","","Ford","Econovan",NULL
625,40,"Edge","","Ford","Edge",NULL
626,40,"Escape","","Ford","Escape",NULL
627,40,"Escort","","Ford","Escort",NULL
628,40,"Everest","","Ford","Everest",NULL
629,40,"Excursion","","Ford","Excursion",NULL
630,40,"Expedition","","Ford","Expedition",NULL
631,40,"Explorer","","Ford","Explorer",NULL
632,40,"F150","","Ford","F150",NULL
633,40,"F250","","Ford","F250",NULL
634,40,"F350","","Ford","F350",NULL
635,40,"Fairline","","Ford","Fairline",NULL
636,40,"Festiva","","Ford","Festiva",NULL
637,40,"Fiesta","","Ford","Fiesta",NULL
638,40,"Five Hundred","","Ford","Five Hundred",NULL
639,40,"Focus","","Ford","Focus",NULL
640,40,"Freestar","","Ford","Freestar",NULL
641,40,"Freestyle","","Ford","Freestyle",NULL
642,40,"Fusion","","Ford","Fusion",NULL
643,40,"Galaxy","","Ford","Galaxy",NULL
644,40,"Granada","","Ford","Granada",NULL
645,40,"Ikon","","Ford","Ikon",NULL
646,40,"Ka","","Ford","Ka",NULL
647,40,"Kuga","","Ford","Kuga",NULL
648,40,"Laser","","Ford","Laser",NULL
649,40,"Maverick","","Ford","Maverick",NULL
650,40,"Mondeo","","Ford","Mondeo",NULL
651,40,"Mustang","","Ford","Mustang",NULL
652,40,"Orion","","Ford","Orion",NULL
653,40,"Probe","","Ford","Probe",NULL
654,40,"Puma","","Ford","Puma",NULL
655,40,"Ranger","","Ford","Ranger",NULL
656,40,"S-MAX","","Ford","S-MAX",NULL
657,40,"Scorpio","","Ford","Scorpio",NULL
658,40,"Sierra","","Ford","Sierra",NULL
659,40,"Taunus","","Ford","Taunus",NULL
660,40,"Taurus","","Ford","Taurus",NULL
661,40,"Tempo","","Ford","Tempo",NULL
662,40,"Territory","","Ford","Territory",NULL
663,40,"Thunderbird","","Ford","Thunderbird",NULL
664,40,"Tourneo Connect","","Ford","Tourneo Connect",NULL
665,40,"Transit","","Ford","Transit",NULL
666,40,"Windstar","","Ford","Windstar",NULL
667,41,"Acadia","","GMC","Acadia",NULL
668,41,"Canyon","","GMC","Canyon",NULL
669,41,"Envoy","","GMC","Envoy",NULL
670,41,"Jimmy","","GMC","Jimmy",NULL
671,41,"Safary","","GMC","Safary",NULL
672,41,"Savana","","GMC","Savana",NULL
673,41,"Sierra","","GMC","Sierra",NULL
674,41,"Suburban","","GMC","Suburban",NULL
675,41,"Typhoon","","GMC","Typhoon",NULL
676,41,"Vandura","","GMC","Vandura",NULL
677,41,"Yukon","","GMC","Yukon",NULL
678,42,"MK","","Geely","MK",NULL
679,42,"Otaka","","Geely","Otaka",NULL
680,42,"Vision","","Geely","Vision",NULL
681,43,"206","","Geo","206",NULL
682,43,"Prizm","","Geo","Prizm",NULL
683,43,"Shtorm","","Geo","Shtorm",NULL
684,43,"Tracker","","Geo","Tracker",NULL
685,44,"G","","Ginetta","G",NULL
686,45,"Alter","","Gonow","Alter",NULL
687,45,"GX6","","Gonow","GX6",NULL
688,46,"Deer","","Great Wall","Deer",NULL
689,46,"Hover","","Great Wall","Hover",NULL
690,46,"Pegasus","","Great Wall","Pegasus",NULL
691,46,"Peri","","Great Wall","Peri",NULL
692,46,"SUV","","Great Wall","SUV",NULL
693,46,"Safe","","Great Wall","Safe",NULL
694,46,"Sailor","","Great Wall","Sailor",NULL
695,46,"Sing","","Great Wall","Sing",NULL
696,46,"Sokol","","Great Wall","Sokol",NULL
697,46,"Wingle","","Great Wall","Wingle",NULL
698,47,"Brio","","Hafei","Brio",NULL
699,47,"Princip","","Hafei","Princip",NULL
700,47,"Simbo","","Hafei","Simbo",NULL
701,48,"Caprice","","Holden","Caprice",NULL
702,48,"Commodore","","Holden","Commodore",NULL
703,48,"Statesman","","Holden","Statesman",NULL
704,49,"Accord","","Honda","Accord",NULL
705,49,"Airwave","","Honda","Airwave",NULL
706,49,"Ascot","","Honda","Ascot",NULL
707,49,"Avancier","","Honda","Avancier",NULL
708,49,"CR-V","","Honda","CR-V",NULL
709,49,"CRX","","Honda","CRX",NULL
710,49,"Capa","","Honda","Capa",NULL
711,49,"City","","Honda","City",NULL
712,49,"Civic","","Honda","Civic",NULL
713,49,"Concerto","","Honda","Concerto",NULL
714,49,"Del Sol","","Honda","Del Sol",NULL
715,49,"Domani","","Honda","Domani",NULL
716,49,"Element","","Honda","Element",NULL
717,49,"Elysion","","Honda","Elysion",NULL
718,49,"FR-V","","Honda","FR-V",NULL
719,49,"Fit","","Honda","Fit",NULL
720,49,"HR-V","","Honda","HR-V",NULL
721,49,"Insight","","Honda","Insight",NULL
722,49,"Inspire","","Honda","Inspire",NULL
723,49,"Integra","","Honda","Integra",NULL
724,49,"Jazz","","Honda","Jazz",NULL
725,49,"Lagreat","","Honda","Lagreat",NULL
726,49,"Legend","","Honda","Legend",NULL
727,49,"Life","","Honda","Life",NULL
728,49,"Logo","","Honda","Logo",NULL
729,49,"Mobilio","","Honda","Mobilio",NULL
730,49,"NSX","","Honda","NSX",NULL
731,49,"Odyssey","","Honda","Odyssey",NULL
732,49,"Orthia","","Honda","Orthia",NULL
733,49,"Partner","","Honda","Partner",NULL
734,49,"Passport","","Honda","Passport",NULL
735,49,"Pilot","","Honda","Pilot",NULL
736,49,"Prelude","","Honda","Prelude",NULL
737,49,"Rafaga","","Honda","Rafaga",NULL
738,49,"Ridgeline","","Honda","Ridgeline",NULL
739,49,"S-MX","","Honda","S-MX",NULL
740,49,"S2000","","Honda","S2000",NULL
741,49,"Saber","","Honda","Saber",NULL
742,49,"Shuttle","","Honda","Shuttle",NULL
743,49,"Spike","","Honda","Spike",NULL
744,49,"Stepwgn","","Honda","Stepwgn",NULL
745,49,"Stream","","Honda","Stream",""
746,49,"That'S","","Honda","That'S",NULL
747,49,"Today","","Honda","Today",NULL
748,49,"Torneo","","Honda","Torneo",NULL
749,49,"Vamos","","Honda","Vamos",NULL
750,49,"Vigor","","Honda","Vigor",NULL
751,49,"Z","","Honda","Z",NULL
752,49,"Zest","","Honda","Zest",NULL
753,50,"Antelope","","Huanghai","Antelope",NULL
754,50,"Landscape","","Huanghai","Landscape",NULL
755,50,"Major","","Huanghai","Major",NULL
756,50,"Plutus","","Huanghai","Plutus",NULL
757,51,"H1","","Hummer","H1",NULL
758,51,"H2","","Hummer","H2",NULL
759,51,"H3","","Hummer","H3",NULL
760,52,"Accent","","Hyundai","Accent",NULL
761,52,"Atos","","Hyundai","Atos",NULL
762,52,"Avante","","Hyundai","Avante",NULL
763,52,"Azera","","Hyundai","Azera",NULL
764,52,"Centennial","","Hyundai","Centennial",NULL
765,52,"Coupe","","Hyundai","Coupe",NULL
766,52,"Dynasty","","Hyundai","Dynasty",NULL
767,52,"Elantra","","Hyundai","Elantra",NULL
768,52,"Entourage","","Hyundai","Entourage",NULL
769,52,"Equis","","Hyundai","Equis",NULL
770,52,"Galloper","","Hyundai","Galloper",NULL
771,52,"Genesis","","Hyundai","Genesis",NULL
772,52,"Getz","","Hyundai","Getz",NULL
773,52,"Grandeur","","Hyundai","Grandeur",NULL
774,52,"H1 (Starex)","","Hyundai","H1 (Starex)",NULL
775,52,"H100","","Hyundai","H100",NULL
776,52,"H200","","Hyundai","H200",NULL
777,52,"Lantra","","Hyundai","Lantra",NULL
778,52,"Lavita","","Hyundai","Lavita",NULL
779,52,"Marcia","","Hyundai","Marcia",NULL
780,52,"Matrix","","Hyundai","Matrix",NULL
781,52,"NF Sonata","","Hyundai","NF Sonata",NULL
782,52,"Pony","","Hyundai","Pony",NULL
783,52,"Porter","","Hyundai","Porter",NULL
784,52,"S Coupe","","Hyundai","S Coupe",NULL
785,52,"Santa Fe","","Hyundai","Santa Fe",NULL
786,52,"Santa Fe Classic","","Hyundai","Santa Fe Classic",NULL
787,52,"Santamo","","Hyundai","Santamo",NULL
788,52,"Sonata","","Hyundai","Sonata",NULL
789,52,"Stelar","","Hyundai","Stelar",NULL
790,52,"Terracan","","Hyundai","Terracan",NULL
791,52,"Tiburon","","Hyundai","Tiburon",NULL
792,52,"Trajet","","Hyundai","Trajet",NULL
793,52,"Tucson","","Hyundai","Tucson",NULL
794,52,"Tuscani","","Hyundai","Tuscani",NULL
795,52,"Veracruz","","Hyundai","Veracruz",NULL
796,52,"Verna","","Hyundai","Verna",NULL
797,52,"XG","","Hyundai","XG",NULL
798,52,"i10","","Hyundai","i10",NULL
799,52,"i30","","Hyundai","i30",NULL
800,53,"EX","","Infiniti","EX",NULL
801,53,"FX","","Infiniti","FX",NULL
802,53,"G COUPE","","Infiniti","G COUPE",NULL
803,53,"G SEDAN","","Infiniti","G SEDAN",NULL
804,53,"I","","Infiniti","I",NULL
805,53,"J30","","Infiniti","J30",NULL
806,53,"M","","Infiniti","M",NULL
807,53,"Q45","","Infiniti","Q45",NULL
808,53,"QX","","Infiniti","QX",NULL
809,54,"Honker","","Intrall","Honker",NULL
810,54,"Lublin","","Intrall","Lublin",NULL
811,55,"Pars","","Iran Khodro","Pars",NULL
812,55,"Samand","","Iran Khodro","Samand",NULL
813,56,"Amigo","","Isuzu","Amigo",NULL
814,56,"Ascender","","Isuzu","Ascender",NULL
815,56,"Aska","","Isuzu","Aska",NULL
816,56,"Axiom","","Isuzu","Axiom",NULL
817,56,"Bighorn","","Isuzu","Bighorn",NULL
818,56,"Crosswind","","Isuzu","Crosswind",NULL
819,56,"D-Max","","Isuzu","D-Max",NULL
820,56,"Faster","","Isuzu","Faster",NULL
821,56,"Filly","","Isuzu","Filly",NULL
822,56,"Gemini","","Isuzu","Gemini",NULL
823,56,"MU","","Isuzu","MU",NULL
824,56,"Midi","","Isuzu","Midi",NULL
825,56,"Rodeo","","Isuzu","Rodeo",NULL
826,56,"Trooper","","Isuzu","Trooper",NULL
827,56,"Vehi Cross","","Isuzu","Vehi Cross",NULL
828,56,"Wizard","","Isuzu","Wizard",NULL
829,57,"Baodian","","JMC","Baodian",NULL
830,58,"420","","Jaguar","420",NULL
831,58,"E-Type","","Jaguar","E-Type",NULL
832,58,"S-Type","","Jaguar","S-Type",NULL
833,58,"Sovereign","","Jaguar","Sovereign",NULL
834,58,"X-Type","","Jaguar","X-Type",NULL
835,58,"XF","","Jaguar","XF",NULL
836,58,"XJ","","Jaguar","XJ",NULL
837,58,"XJ220","","Jaguar","XJ220",NULL
838,58,"XJR","","Jaguar","XJR",NULL
839,58,"XJS","","Jaguar","XJS",NULL
840,58,"XK","","Jaguar","XK",NULL
841,58,"mark","","Jaguar","mark",NULL
842,59,"Cherokee","","Jeep","Cherokee",NULL
843,59,"Commander","","Jeep","Commander",NULL
844,59,"Compass","","Jeep","Compass",NULL
845,59,"Grand Cherokee","","Jeep","Grand Cherokee",NULL
846,59,"Liberty","","Jeep","Liberty",NULL
847,59,"Patriot","","Jeep","Patriot",NULL
848,59,"Wrangler","","Jeep","Wrangler",NULL
849,60,"Haise","","Jindei","Haise",NULL
850,61,"Avella","","Kia","Avella",NULL
851,61,"Besta","","Kia","Besta",NULL
852,61,"Carens","","Kia","Carens",NULL
853,61,"Carnival","","Kia","Carnival",NULL
854,61,"Ceed","","Kia","Ceed",NULL
855,61,"Cerato","","Kia","Cerato",NULL
856,61,"Clarus","","Kia","Clarus",NULL
857,61,"Cosmos","","Kia","Cosmos",NULL
858,61,"Elan","","Kia","Elan",NULL
859,61,"Enterprise","","Kia","Enterprise",NULL
860,61,"GrandBird","","Kia","GrandBird",NULL
861,61,"Joice","","Kia","Joice",NULL
862,61,"K","","Kia","K",NULL
863,61,"Magentis","","Kia","Magentis",NULL
864,61,"Opirus","","Kia","Opirus",NULL
865,61,"Optima","","Kia","Optima",NULL
866,61,"Picanto","","Kia","Picanto",NULL
867,61,"Potentia","","Kia","Potentia",NULL
868,61,"Pregio","","Kia","Pregio",NULL
869,61,"Pride","","Kia","Pride",NULL
870,61,"Retona","","Kia","Retona",NULL
871,61,"Rio","","Kia","Rio",NULL
872,61,"Sedona","","Kia","Sedona",NULL
873,61,"Sephia","","Kia","Sephia",NULL
874,61,"Shuma","","Kia","Shuma",NULL
875,61,"Sorento","","Kia","Sorento",NULL
876,61,"Spectra","","Kia","Spectra",NULL
877,61,"Sportage","","Kia","Sportage",NULL
878,61,"Visto","","Kia","Visto",NULL
879,61,"X-Trek","","Kia","X-Trek",NULL
880,62,"Countach","","Lamborghini","Countach",NULL
881,62,"Diablo","","Lamborghini","Diablo",NULL
882,62,"Espada","","Lamborghini","Espada",NULL
883,62,"Gallardo","","Lamborghini","Gallardo",NULL
884,62,"LM-002","","Lamborghini","LM-002",NULL
885,62,"Murcielago","","Lamborghini","Murcielago",NULL
886,63,"Dedra","","Lancia","Dedra",NULL
887,63,"Delta","","Lancia","Delta",NULL
888,63,"Fulvia","","Lancia","Fulvia",NULL
889,63,"Kappa","","Lancia","Kappa",NULL
890,63,"Lybra","","Lancia","Lybra",NULL
891,63,"Musa","","Lancia","Musa",NULL
892,63,"Phedra","","Lancia","Phedra",NULL
893,63,"Prisma","","Lancia","Prisma",NULL
894,63,"Thema","","Lancia","Thema",NULL
895,63,"Thesis","","Lancia","Thesis",NULL
896,63,"Trevi","","Lancia","Trevi",NULL
897,63,"Ypsilon","","Lancia","Ypsilon",NULL
898,63,"Zeta","","Lancia","Zeta",NULL
899,64,"Defender","","Land Rover","Defender",NULL
900,64,"Discovery","","Land Rover","Discovery",NULL
901,64,"Freelander","","Land Rover","Freelander",NULL
902,64,"Range Rover","","Land Rover","Range Rover",NULL
903,64,"Range Rover Sport","","Land Rover","Range Rover Sport",NULL
904,65,"SUV","","Landwind","SUV",NULL
905,65,"X6","","Landwind","X6",NULL
906,66,"ES","","Lexus","ES",NULL
907,66,"GS","","Lexus","GS",NULL
908,66,"GX","","Lexus","GX",NULL
909,66,"IS","","Lexus","IS",NULL
910,66,"LS","","Lexus","LS",NULL
911,66,"LX","","Lexus","LX",NULL
912,66,"RX","","Lexus","RX",NULL
913,66,"SC","","Lexus","SC",NULL
914,67,"Breez","","Lifan","Breez",NULL
915,68,"Aviator","","Lincoln","Aviator",NULL
916,68,"Blackwood","","Lincoln","Blackwood",NULL
917,68,"Continental","","Lincoln","Continental",NULL
918,68,"LS","","Lincoln","LS",NULL
919,68,"MKX","","Lincoln","MKX",NULL
920,68,"MKZ","","Lincoln","MKZ",NULL
921,68,"Mark","","Lincoln","Mark",NULL
922,68,"Mark LT","","Lincoln","Mark LT",NULL
923,68,"Navigator","","Lincoln","Navigator",NULL
924,68,"Town Car","","Lincoln","Town Car",NULL
925,69,"Elise","","Lotus","Elise",NULL
926,69,"Esprit","","Lotus","Esprit",NULL
927,69,"Europa","","Lotus","Europa",NULL
928,69,"Exige","","Lotus","Exige",NULL
929,69,"Seven","","Lotus","Seven",NULL
930,70,"7","","MG","7",NULL
931,70,"Express","","MG","Express",NULL
932,70,"MGF","","MG","MGF",NULL
933,70,"Midget","","MG","Midget",NULL
934,70,"TF","","MG","TF",NULL
935,70,"XPower SV","","MG","XPower SV",NULL
936,70,"ZR","","MG","ZR",NULL
937,70,"ZS","","MG","ZS",NULL
938,70,"ZT","","MG","ZT",NULL
939,71,"Clubman","","MINI","Clubman",NULL
940,71,"Cooper","","MINI","Cooper",NULL
941,71,"One","","MINI","One",NULL
942,72,"Armada","","Mahindra","Armada",NULL
943,72,"CJ","","Mahindra","CJ",NULL
944,72,"Commander","","Mahindra","Commander",NULL
945,72,"Marshal","","Mahindra","Marshal",NULL
946,73,"Mantaray","","Marcos","Mantaray",NULL
947,73,"Mantis","","Marcos","Mantis",NULL
948,74,"1000","","Maruti","1000",NULL
949,74,"800","","Maruti","800",NULL
950,74,"Esteem","","Maruti","Esteem",NULL
951,74,"Gypsy","","Maruti","Gypsy",NULL
952,74,"Omni","","Maruti","Omni",NULL
953,74,"Zen","","Maruti","Zen",NULL
954,75,"228","","Maserati","228",NULL
955,75,"3200 GT","","Maserati","3200 GT",NULL
956,75,"4300 GT Coupe","","Maserati","4300 GT Coupe",NULL
957,75,"Coupe","","Maserati","Coupe",NULL
958,75,"Ghibli","","Maserati","Ghibli",NULL
959,75,"Ghibli II","","Maserati","Ghibli II",NULL
960,75,"Gran Sport","","Maserati","Gran Sport",NULL
961,75,"Gran Turismo","","Maserati","Gran Turismo",NULL
962,75,"M 128","","Maserati","M 128",NULL
963,75,"Quattroporte","","Maserati","Quattroporte",NULL
964,75,"Spyder","","Maserati","Spyder",NULL
965,76,"57","","Maybach","57",NULL
966,76,"57S","","Maybach","57S",NULL
967,76,"62","","Maybach","62",NULL
968,76,"62S","","Maybach","62S",NULL
969,77,"121","","Mazda","121",NULL
970,77,"2","","Mazda","2",NULL
971,77,"3","","Mazda","3",NULL
972,77,"323","","Mazda","323",NULL
973,77,"5","","Mazda","5",NULL
974,77,"6","","Mazda","6",NULL
975,77,"626","","Mazda","626",NULL
976,77,"929","","Mazda","929",NULL
977,77,"Allegro","","Mazda","Allegro",NULL
978,77,"Atenza","","Mazda","Atenza",NULL
979,77,"Az-wagon","","Mazda","Az-wagon",NULL
980,77,"B-Series","","Mazda","B-Series",NULL
981,77,"BT-50","","Mazda","BT-50",NULL
982,77,"Bongo-Friendee","","Mazda","Bongo-Friendee",NULL
983,77,"CX-7","","Mazda","CX-7",NULL
984,77,"CX-9","","Mazda","CX-9",NULL
985,77,"Capella","","Mazda","Capella",NULL
986,77,"Carol","","Mazda","Carol",NULL
987,77,"Demio","","Mazda","Demio",NULL
988,77,"Efini MS-8","","Mazda","Efini MS-8",NULL
989,77,"Familia","","Mazda","Familia",NULL
990,77,"Fighter","","Mazda","Fighter",NULL
991,77,"Lantis","","Mazda","Lantis",NULL
992,77,"Levante","","Mazda","Levante",NULL
993,77,"Luci","","Mazda","Luci",NULL
994,77,"MPV","","Mazda","MPV",NULL
995,77,"MPV 2","","Mazda","MPV 2",NULL
996,77,"MX3","","Mazda","MX3",NULL
997,77,"MX5","","Mazda","MX5",NULL
998,77,"MX6","","Mazda","MX6",NULL
999,77,"Millenia","","Mazda","Millenia",NULL
1000,77,"Pick-Up","","Mazda","Pick-Up",NULL
1001,77,"Premacy","","Mazda","Premacy",NULL
1002,77,"Proceed","","Mazda","Proceed",NULL
1003,77,"Protege","","Mazda","Protege",NULL
1004,77,"RX-4","","Mazda","RX-4",NULL
1005,77,"RX-7","","Mazda","RX-7",NULL
1006,77,"RX-8","","Mazda","RX-8",NULL
1007,77,"Scrum","","Mazda","Scrum",NULL
1008,77,"Sentia","","Mazda","Sentia",NULL
1009,77,"Tribute","","Mazda","Tribute",NULL
1010,77,"Verisa","","Mazda","Verisa",NULL
1011,77,"Xedos 6","","Mazda","Xedos 6",NULL
1012,77,"Xedos 9","","Mazda","Xedos 9",NULL
1013,78,"F1","","McLaren","F1",NULL
1014,79,"A-класс","","Mercedes-Benz","A-класс",NULL
1015,79,"B-класс","","Mercedes-Benz","B-класс",NULL
1016,79,"C-класс","","Mercedes-Benz","C-класс",NULL
1017,79,"CL-класс","","Mercedes-Benz","CL-класс",NULL
1018,79,"CLC-класс","","Mercedes-Benz","CLC-класс",NULL
1019,79,"CLK-класс","","Mercedes-Benz","CLK-класс",NULL
1020,79,"CLS-класс","","Mercedes-Benz","CLS-класс",NULL
1021,79,"E-класс","","Mercedes-Benz","E-класс",NULL
1022,79,"G-класс","","Mercedes-Benz","G-класс",NULL
1023,79,"GL-класс","","Mercedes-Benz","GL-класс",NULL
1024,79,"GLK-класс","","Mercedes-Benz","GLK-класс",NULL
1025,79,"M-класс","","Mercedes-Benz","M-класс",NULL
1026,79,"Pullmann","","Mercedes-Benz","Pullmann",NULL
1027,79,"R-класс","","Mercedes-Benz","R-класс",NULL
1028,79,"S-класс","","Mercedes-Benz","S-класс",NULL
1029,79,"SL-класс","","Mercedes-Benz","SL-класс",NULL
1030,79,"SLK-класс","","Mercedes-Benz","SLK-класс",NULL
1031,79,"SLR-класс","","Mercedes-Benz","SLR-класс",NULL
1032,79,"Sprinter","","Mercedes-Benz","Sprinter",NULL
1033,79,"V-класс","","Mercedes-Benz","V-класс",NULL
1034,79,"Vaneo","","Mercedes-Benz","Vaneo",NULL
1035,79,"Vario","","Mercedes-Benz","Vario",NULL
1036,79,"Viano","","Mercedes-Benz","Viano",NULL
1037,79,"Vito","","Mercedes-Benz","Vito",NULL
1038,79,"W123","","Mercedes-Benz","W123",NULL
1039,79,"W124","","Mercedes-Benz","W124",NULL
1040,80,"Cougar","","Mercury","Cougar",NULL
1041,80,"Grand Marquis","","Mercury","Grand Marquis",NULL
1042,80,"Mariner","","Mercury","Mariner",NULL
1043,80,"Milan","","Mercury","Milan",NULL
1044,80,"Mountaineer","","Mercury","Mountaineer",NULL
1045,80,"Mystique","","Mercury","Mystique",NULL
1046,80,"Sable","","Mercury","Sable",NULL
1047,80,"Topaz","","Mercury","Topaz",NULL
1048,80,"Tracer","","Mercury","Tracer",NULL
1049,80,"Villager","","Mercury","Villager",NULL
1050,81,"Taxi","","Metrocab","Taxi",NULL
1051,82,"3000 GT","","Mitsubishi","3000 GT",NULL
1052,82,"Airtrek","","Mitsubishi","Airtrek",NULL
1053,82,"Aspire","","Mitsubishi","Aspire",NULL
1054,82,"Bravo","","Mitsubishi","Bravo",NULL
1055,82,"Carisma","","Mitsubishi","Carisma",NULL
1056,82,"Challenger","","Mitsubishi","Challenger",NULL
1057,82,"Chariot","","Mitsubishi","Chariot",NULL
1058,82,"Colt","","Mitsubishi","Colt",NULL
